Year,Game,Review
2013,GTA 5,"Absolutely amazing gameplay, story is great and gameplay in Los Santos last forever it seems and this is all in just single player, I can't wait for the online portion to come out. Great Game Rockstar!!! Worth every penny!!"
2013,GTA 5,"First of all, the main reason this game is getting over 100 negative user reviews is probably because of PC ""master racers"" who are pissed that for once the consoles got this GLORIOUS game before they did (to them, I say get over it; you'll get a half assed PC port soon enough that you can mod the living daylights out of eventually. Shut up and let us enjoy our 360s and PS3s for onceFirst of all, the main reason this game is getting over 100 negative user reviews is probably because of PC ""master racers"" who are pissed that for once the consoles got this GLORIOUS game before they did (to them, I say get over it; you'll get a half assed PC port soon enough that you can mod the living daylights out of eventually. Shut up and let us enjoy our 360s and PS3s for once without you  all over yourselves). That said, this is also one of the few times I'd give a game a perfect score: there is so much to do in this game, there is so much detail in this world and every single object in it (buildings, cars, people, the writing; it just goes on), and I've yet to find a single activity that I haven't enjoyed (aside from a slightly annoying GPS and menu system). Is for mature audiences? Yes. Is  used so often in conversation that white people are going to have to retrain themselves for when it's acceptable to use that word? OH yes. Is it also something that demands your respect, and that you can tell Rockstar poured their souls into making it as good as possible?  YES. And with GTA Online coming two weeks from the original release (and time of writing), I highly doubt that gamers are going to stop talking about this anytime soon.\"
2013,GTA 5,"Simply the best game on this generation. Its so much fun to play this game, it never gets boring and you can do everything and anything! Best GTA ever, and probably the best game ever. You just must have it! There\s no better time than this to use the word masterwork: Rockstar did a colossal job creating a huge, visually stunning world chiseled in its finest details, populated by brilliantSimply the best game on this generation. Its so much fun to play this game, it never gets boring and you can do everything and anything! Best GTA ever, and probably the best game ever. You just must have it! There\s no better time than this to use the word masterwork: Rockstar did a colossal job creating a huge, visually stunning world chiseled in its finest details, populated by brilliant characters and with highly spectacular and varied gameplay. the city is spectaular and massive it would take solid days to explore, i just cant stress enough how amazing this game is, five years well spent i say!\"
2013,GTA 5,"This game is so freaking good. Its pathetic of some people to rate this game low because it's not on pc yet, basically they havent played it. I will get this game on pc if it makes its way onto it however it is not a reason to rate it low."
2013,GTA 5,"This game is just AMAZING! amazing storyline, Great missions, alot of things to do, it's muuuuch more better than GTA IV and even better than San Andreas, This game is what I was expecting and I'm sure this will be the game of the year"
2013,GTA 5,"After playing this game for 10 minutes i couldnt help but fondle my nuts. Me and ma boi Jow also known as hottdawg hit up da streetz itz da 1 tym. If you like Baldurs Gate: Dark Alliance, you will love this game. Fantastic local couch play with 1-4 players. Its nice to find another game in this genre combining the local co-op again. So much loot and monsters to kill; its never ending fun"
2013,GTA 5,"It is certainly the MOTHER OF ALL GAMES. The game of the century, that's until GTA 6 comes out but this is definitely the BEST game on earth.The graphics are amazing and the feel of the game play especially when driving is fantastic. There is so much detail about every small little thing! Rockstar have been making amazing games and this a BLOCKBUSTER."
2013,GTA 5,"This game is absolutely phenomenal. If you thought GTA IV was an amazing game, you'll think GTA V is an absolute masterpiece. The GTA world in this game is huge and never ending. I swear you could drive for hours and hours at a time and still have plenty of areas to explore. I have played GTA V for about 20 hours total and I have yet to even scratch the surface of this game."
2013,GTA 5,"This is a 10 rating to balance out the idiotic 0 star reviews from jealous PC users.  Go win some hats in TF2 and piss off with your unfair reviews.  Game gets a 10 obviously, best game of the year."
2013,GTA 5,Best game i ever played in my entire life! story is really amazing gameplay is straight out amazing there's not  is enough words that can describe on how amazing this game really is. i give it a 10/10 Best Game Of The Decade
