"year","title","tags","description"
2012,"Counter-Strike: Global Offensive","FPS,Multiplayer,Shooter,Action,Team-Based,Competitive,Tactical,First-Person,e-sports,PvP,Online Co-Op,Military,Co-op,Strategy,War,Trading,Difficult,Realistic,Fast-Paced,Moddable",",About This Game,Counter-Strike Global Offensive (CS GO) expands upon the team-based action gameplay that it pioneered when it was launched 19 years ago,CS GO features new maps, characters, weapons, and game modes, and delivers updated versions of the classic CS content (de_dust2, etc),""Counter-Strike took the gaming industry by surprise when the unlikely MOD became the most played online PC action game in the world almost immediately after its release in August 1999,"" said Doug Lombardi at Valve ""For the past 12 years, it has continued to be one of the most-played games in the world, headline competitive gaming tournaments and selling over 25 million units worldwide across the franchise CS GO promises to expand on CS' award-winning gameplay and deliver it to gamers on the PC as well as the next gen consoles and the Mac"""
2012,"Borderlands 2","FPS,Co-op,RPG,Action,Loot,Shooter,Open World,Multiplayer,Funny,Comedy,Adventure,Action RPG,Online Co-Op,Memes,Stylized,Sci-fi,Dark Humor,Futuristic,Singleplayer,Atmospheric",",About This Game,A new era of shoot and loot is about to begin Play as one of four new vault hunters facing off against a massive new world of creatures, psychos and the evil mastermind, Handsome Jack  Make new friends, arm them with a bazillion weapons and fight alongside them in 4 player co-op on a relentless quest for revenge and redemption across the undiscovered and unpredictable living planetKey FeaturesAll-New Characters and All-New Classes Four all new playable classes including the Siren, the Commando, the Gunzerker and the Assassin Step into the role of the Gunzerker, whose highly deadly skills allow him to dual-wield any two weapons found in the game Not only that, you will build on that skill to do more things with two guns than you ever imagined possible Dual machine guns? Cool Dual rocket launchers? Of course! Dual Sniper Rifles? Sure, if that’s your thing! Want to try other styles? More tactical perhaps? There are multiple classes to choose from!Dynamic Co-op online, and LAN Share your adventures with friends both online and via LAN Borderlands 2 features a seamless system enabling you to drop in and drop out of a campaign without ever having to restart the game On top of that you can even take your new gear from any game to any other!World Connected Story  Find yourself left for dead in the frozen tundra of Pandora as you begin your quest of revenge and redemption Expose the evil surrounding the Hyperion Corporation and take on the perpetrator of a universe-wide grand deception -- the nefarious Hyperion CEO, Handsome Jack (Oh, also he's stolen credit for the opening of the Vault)87 BazillionEverything In addition to the new gun system, you will lust after procedurally generated shields, grenades, Relics, class mods and much, much more And you thought the original Borderlands had a ton of loot!Brand new environments on Pandora Hunt through entirely brand new areas of Pandora that are more alive than ever!  From the arctic tundra, through the dangerous grasslands, past the mysterious corrosive caverns to beyond, you’ll be surprised by the unpredictable world of Pandora at every turn!Brand new enemies  A whole slew of new enemies are out there to kill you in Borderlands 2 Hulking, gorilla-like Bullymongs, vicious predatory Stalkers and the Hyperion mechanical army, run by Handsome Jack, are just some of the new enemies in Borderlands 2Note The Mac and Linux versions of Borderlands 2 are available in English, French, Italian, German and Spanish only"
2012,"PlanetSide 2","Free to Play,Massively Multiplayer,FPS,Shooter,Action,Open World,Multiplayer,Team-Based,Sci-fi,Tactical,War,First-Person,Futuristic,PvP,Co-op,Online Co-Op,Strategy,Space,Adventure,RPG",",About This Game,PlanetSide 2 is a free-to-play, massively multiplayer online first person shooter (MMOFPS)  Empires and their soldiers battle in an all-out planetary war on a scale never before seen, in stunning, breathtaking detail PlanetSide 2 battles persist and the war never ends, offering constant challenges of individual skill, team grit, and empire-wide coordination Take up arms and drop into intense infantry, vehicle, and air combat Players come together in enormous battles across four massive continents to win control of critical territories, gaining key resources for their empire With an extensive skill tree and class-based system, players can customize their soldier, weapons, and vehicles to match their playstyle and meet the needs of their squads, outfits, and empires In the world of PlanetSide 2, every soldier makes a differenceTHREE WARRING EMPIRES Players will choose to align with one of three empires the militaristic, authoritarian Terran Republic; the rebellious, freedom-fighting New Conglomerate; or the technocratic, alien-influenced Vanu Sovereignty Each empire has access to empire-specific weapons, attachments, vehicles, abilities, and moreMASSIVE WARFARE Battles take place not between dozens of soldiers, but between hundreds They fight on foot They pile into vehicles They take to the skies in devastating aircraft Each battleground holds valuable resources and strategic positions, and the empire that can conquer and hold these territories will be rewarded with the resources and the means to achieve victory  ENORMOUS MAPS PlanetSide 2 features four incredible and diverse continent maps with dozens of square kilometers of seamless gameplay space, every inch of which is hand-crafted and contestable Whether in open fields, barren desert, in armed and armored bases, or in the skies, victory will rely on knowing your surroundings PERSISTENCE THAT PAYS In PlanetSide 2 the war isn’t won by a single base capture The core gameplay of PlanetSide 2 is about holding crucial territories and controlling resources Working strategically as a team to secure tactical positions has long-lasting effects that can shift the tide of battleCLASS-BASED COMBAT Players can build their soldier to match wants and their allies' needs Six distinct classes provide a wealth of squad options and combat tactics Grow your soldier over time as you master each combat role, weapon, and vehicle, laterally unlocking hundreds of weapons, attachments, gear, skills, vehicles, and moreHeavy Assault Rush into the battle guns blazing You are the dedicated foot soldier of AuraxisLight Assault Go where the Heavies can’t with your short-burst jetpack Pick a high spot, throw a grenade, and out maneuver your foes!Combat Medic Keep your fellow soldiers alive and in fighting shape You are the beating heart of any squad Infiltrator Stay silent Stay invisible You are death from the shadows, whether with a knife from behind or a single shot from a sniper's nest You are the enemy's constant fear Engineer  Deploy crucial equipment Resupply your allies Fix the thing, then fix it again You keep the machines running, the tanks firing, and the war effort moving forward MAX Step into your Mechanized Assault Exo-Suit (MAX) Cannons for hands, armor for flesh, and a disposition to match, you are a walking mass of nigh unstoppable deathOUTFIT TEAMWORK Join or form your own Outfit, a like-minded group of soldiers who train together day in and day out Whether a small rapid response team or a massive clan, Outfits are vital to each empire's strategic organization VEHICLES & WEAPONS Train and equip your solider how you want, with a huge array of weapons and vehicles which can be extensively customized by preference or purpose, using attachments, upgrades, and add-ons earned in the war  PLAY FOR FREE PlanetSide 2 is free to play with optional in-game purchases  "
2012,"Euro Truck Simulator 2","Simulation,Driving,Open World,Realistic,Relaxing,Singleplayer,Moddable,Exploration,First-Person,Economy,Adventure,Indie,Atmospheric,Management,TrackIR,Casual,Sandbox,Racing,Action,RPG",",About This Game,Travel across Europe as king of the road, a trucker who delivers important cargo across impressive distances! With dozens of cities to explore from the UK, Belgium, Germany, Italy, the Netherlands, Poland, and many more, your endurance, skill and speed will all be pushed to their limits If you’ve got what it takes to be part of an elite trucking force, get behind the wheel and prove it!Key FeaturesTransport a vast variety of cargo across more than 60 European citiesRun your own business which continues to grow even as you complete your freight deliveriesBuild your own fleet of trucks, buy garages, hire drivers, manage your company for maximum profitsA varied amount of truck tuning that range from performance to cosmetic changesCustomize your vehicles with optional lights, bars, horns, beacons, smoke exhausts, and moreThousands of miles of real road networks with hundreds of famous landmarks and structuresWorld of TrucksTake advantage of additional features of Euro Truck Simulator 2 by joining our online community on World of Trucks, our center for virtual truckers all around the world interested in Euro Truck Simulator 2 and future SCS Software's truck simulators Use in-game Photo Mode to capture the best moments and share them with thousands of people who love trucksFavorite the images you like the most and return to them anytime in the future Discuss the screenshots with everyone using World of Trucks See the best images hand-picked by the game creators in Editor's Pick updated almost every day Try to get your own screenshot on this list!Upload and use your custom avatar and license plate in the gameMore features coming soon!To join World of Trucks, simply sign up with your Steam account on the join pageWorld of Trucks is an optional service, registration on World of Trucks isn't required to play the game"
2012,"Chivalry: Medieval Warfare","Medieval,Multiplayer,Action,First-Person,Gore,Violent,Swordplay,PvP,Indie,Third Person,Competitive,Team-Based,Hack and Slash,FPS,Class-Based,Historical,Atmospheric,Co-op,Simulation,Difficult",",About This Game,Besiege castles and raid villages in Chivalry Medieval Warfare is a first-person slasher with a focus on multi-player Featuring competitive online combat that seeks to capture the experience of truly being on a medieval battlefield Inspired from the intensity and epicness of swordfighting movies such as 300, Gladiator and Braveheart, Chivalry Medieval Warfare aims to bring that experience to the hands of a gamerThe game is skill-based and controls like an FPS, but instead of guns and grenades, players are given swords, shields, maces, battleaxes and longbows Set in a fictional, yet gritty and realistic world, players will fight in fast paced online battles besieging castles, raiding medieval villages and fighting for glory in the arena with up to 32 playersKey Features Deep melee combat system provides players with a huge range of responsive combat options Adjust your attacks and blocks in real time with the mouse for precise and full control of the actionWield an arsenal of up to 60 brutal weapons ranging from broad swords and battle axes to longbows and javelinsDynamic objective system brings team tactics and strategy to the forefront as players batter down gates, raid villages and assassinate enemy royalty to achieve victoryUse a variety of siege weapons ranging from catapults, boiling oil, ballista, battering rams and moreVast, lush environments that transport the player to a gritty and immersive medieval world Offline play options that allow players to gain familiarity with the controls and gameplay before being thrust into the action"
2012,"Batman: Arkham City - Game of the Year Edition","Action,Open World,Batman,Adventure,Stealth,Third Person,Superhero,Singleplayer,Beat 'em up,Comic Book,Detective,Fighting,Story Rich,Atmospheric,Action-Adventure,Cinematic,Controller,3D Vision,Metroidvania,Sandbox",",About This Game,Batman Arkham City builds upon the intense, atmospheric foundation of Batman Arkham Asylum, sending players flying through the expansive Arkham City - five times larger than the game world in Batman Arkham Asylum - the new maximum security ""home"" for all of Gotham City's thugs, gangsters and insane criminal masterminds Featuring an incredible Rogues Gallery of Gotham City's most dangerous criminals including Catwoman, The Joker, The Riddler, Two-Face, Harley Quinn, The Penguin, Mr Freeze and many others, the game allows players to genuinely experience what it feels like to be The Dark Knight delivering justice on the streets of Gotham City Batman Arkham City - Game of the Year Edition includes the following DLC  Catwoman PackNightwing Bundle PackRobin Bundle PackHarley Quinn’s RevengeChallenge Map PackArkham City Skins Pack[/b][/list]Batman Arkham City - Game of the Year Edition packages new gameplay content, seven maps, three playable characters, and 12 skins beyond the original retail releaseMaps Wayne Manor, Main Hall, Freight Train, Black Mask, The Joker's Carnival, Iceberg Long, and Batcave Playable Characters Catwoman, Robin and Nightwing Skins 1970s Batsuit, Year One Batman, The Dark Knight Returns, Earth One Batman, Batman Beyond Batman, Animated Batman, Sinestro Corps Batman, Long Halloween Catwoman, Animated Catwoman, Animated Robin, Red Robin and Animated Nightwing"
2012,"Dishonored","Stealth,First-Person,Action,Steampunk,Assassin,Singleplayer,Atmospheric,Story Rich,Adventure,Multiple Endings,Dark,Magic,Dystopian ,FPS,RPG,Replay Value,Fantasy,Open World,Shooter,Sci-fi",",About This Game,Dishonored is an immersive first-person action game that casts you as a supernatural assassin driven by revenge  With Dishonored’s flexible combat system, creatively eliminate your targets as you combine the supernatural abilities, weapons and unusual gadgets at your disposal Pursue your enemies under the cover of darkness or ruthlessly attack them head on with weapons drawn The outcome of each mission plays out based on the choices you makeStoryDishonored is set in Dunwall, an industrial whaling city where strange steampunk- inspired technology and otherworldly forces coexist in the shadows You are the once-trusted bodyguard of the beloved Empress Framed for her murder, you become an infamous assassin, known only by the disturbing mask that has become your calling card In a time of uncertainty, when the city is besieged by plague and ruled by a corrupt government armed with industrial technologies, dark forces conspire to bestow upon you abilities beyond those of any common man – but at what cost? The truth behind your betrayal is as murky as the waters surrounding the city, and the life you once had is gone foreverKey featuresImprovise and InnovateApproach each assassination with your own style of play Use shadow and sound to your advantage to make your way silently through levels unseen by foes, or attack enemies head-on as they respond to your aggression The flexible combat system allows you to creatively combine your abilities, supernatural powers and gadgets as you make your way through the levels and dispatch your targets Improvise and innovate to define your play style Action with MeaningThe world of Dishonored reacts to how you play Move like a ghost and resist corruption, or show no mercy and leave a path of destruction in your wake Decide your approach for each mission, and the outcomes will change as a result Supernatural AbilitiesTeleport for stealth approaches, possess any living creature, or stop time itself to orchestrate unearthly executions! Combining your suite of supernatural abilities and weapons opens up even more ways to overcome obstacles and eliminate targets  The game’s upgrade system allows for the mastery of deadly new abilities and devious gadgetsA City Unlike Any OtherEnter an original world envisioned by Half-Life 2 art director Viktor Antonov Arkane and Bethesda bring you a steampunk city  where industry and the supernatural collide, creating an atmosphere thick with intrigue  The world is yours to discover    "
2012,"XCOM: Enemy Unknown","Turn-Based Strategy,Tactical,Strategy,Sci-fi,Turn-Based,Aliens,Singleplayer,Base Building,Unforgiving,Turn-Based Tactics,Replay Value,Addictive,Multiplayer,Perma Death,Action,RPG,Difficult,Character Customization,Atmospheric,Futuristic",",About This Game,XCOM Enemy Unknown will place you in control of a secret paramilitary organization called XCOM As the XCOM commander, you will defend against a terrifying global alien invasion by managing resources, advancing technologies, and overseeing combat strategies and individual unit tactics The original XCOM is widely regarded as one of the best games ever made and has now been re-imagined by the strategy experts at Firaxis Games XCOM Enemy Unknown will expand on that legacy with an entirely new invasion story, enemies and technologies to fight aliens and defend Earth You will control the fate of the human race through researching alien technologies, creating and managing a fully operational base, planning combat missions and controlling soldier movement in battleKey FeaturesStrategy Evolved XCOM Enemy Unknown couples tactical turn-based gameplay with incredible action sequences and on-the-ground combat Strategic Base Recruit, customize and grow unique soldiers and manage your personnel Detect and intercept the alien threat as you build and expand your XCOM headquarters Tactical Combat Direct soldier squads in turn-based ground battles and deploy air units such as the Interceptor and Skyranger Worldwide Threat Combat spans the globe as the XCOM team engages in over 70 unique missions, interacting and negotiating with governments around the world"
2012,"Far Cry 3","Open World,FPS,Action,Adventure,Shooter,Stealth,Multiplayer,Hunting,First-Person,Co-op,Singleplayer,Sandbox,Survival,Story Rich,Online Co-Op,Atmospheric,Colorful,Crafting,Nudity,RPG",",About This Game,Far Cry 3 is an open world first-person shooter set on an island unlike any other A place where heavily armed warlords traffic in slaves Where outsiders are hunted for ransom And as you embark on a desperate quest to rescue your friends,  you realize that the only way to escape this darkness… is to embrace itKey FeaturesAN OPEN WORLD FIRST-PERSON SHOOTERCreate your own FPS adventure Customize your weapons, your skills and your approach to each mission, whether you favor intense run-and-gun action, stealthy close-up takedowns or long-range snipingAN ISLAND OF DANGER AND DISCOVERYExplore a diverse island playground, from mountain ranges and swampy grasslands to white sandy beaches Discover relics, hunt exotic animals, play mini-games and travel quickly by land, sea or air Fight your way through the island’s towns, temples, river ports and more!UNCOVER A MEMORABLE STORY AND AN INSANE CAST OF CHARACTERSEncounter an engaging and disturbed cast of characters as you take a gritty journey to the dark side of humanity, written by a Writers Guild Award winnerPLAY WITH FRIENDS IN A FULL CO-OP CAMPAIGNPlay online and team up in a four-player campaign which challenges you to be your best and work together to prevail Experience the island through the eyes of a wayward crew in their own quest to survive against the oddsA DIFFERENT BREED OF MULTIPLAYERInnovative multiplayer rewards skill and team play To level up, players must support each other by boosting with battle cries, reviving teammates and calling in support weapons After each match, players have the choice to punish or show mercy for their foes in fun and twisted ways, choreographed with interactive cutscenesUSE THE MAP EDITOR TO CREATE AND ACCESS NEW CONTENTThe powerful and easy-to-use Far Cry® Map Editor is back, with new and improved features A community of mapmakers ensures a constant stream of all-new content with the very best being showcased for the whole world to enjoy Using the included tools, you too can make amazing maps, quickly and easilyCUTTING-EDGE GRAPHICS AND GAMEPLAYFar Cry® 3 is being developed by the world-class game designers who brought you such critically acclaimed titles as Assassin’s Creed® 2, Assassin’s Creed® Brotherhood, and World in Conflict®"
2012,"Torchlight II","RPG,Action RPG,Hack and Slash,Co-op,Dungeon Crawler,Loot,Fantasy,Online Co-Op,Action,Multiplayer,Adventure,Singleplayer,Indie,Moddable,Character Customization,Replay Value,Isometric,Steampunk,Atmospheric,Cartoon",",About This Game,The award-winning Action RPG is back, bigger and better than ever! Torchlight II is filled to the brim with randomized levels, enemies and loot Capturing all the flavor and excitement of the original, Torchlight II expands the world and adds features players wanted most, including online and LAN multiplayer Once again, the fate of the world is in your handsKey FeaturesCHARACTERSWith four classes to choose from, you’ll have a variety of play styles at your fingertips Each class can be played as either male or female, with customized cosmetic features and looks to make your hero stand out MULTIPLAYERPlay co-op with your friends via LAN or over the Internet for free Our matchmaking service lets you connect and play games with people around the world OPEN WORLDExplore the vast overworld and multiple hub towns of Vilderan Fight through rain, snow, day and night Level randomization ensures new layouts, paths, loot, and monsters every time you playMOD SUPPORT Torchlight II supports Steam Workshop, allowing for automatic mod subscription and synchronization Choose from over a thousand mods and bend the game to your will Or use GUTS, the Torchlight II editor, to create and share your work with the entire world!NEW GAME PLUSIn New Game Plus, the game's not over until you say it is Once you've beaten Torchlight II's primary campaign, you can start again with the same character for a significantly greater challenge You'll keep all the skills, gold, and gear you worked so hard for!PETS & FISHING These popular features make their return in Torchlight II in improved form More choices, better effects, and your pet will still make the run to town to sell your loot so you don’t have to"
