"year","title","tags","description"
2014,"Loadout",NA,NA
2014,"Warface","Free to Play,FPS,Multiplayer,Shooter,Action,Co-op,First-Person,Online Co-Op,War,PvP,Military,Massively Multiplayer,Team-Based,Tactical,Zombies,Adventure,Open World,Strategy,Simulation,Great Soundtrack",",About This Game,Warface is a free-to-play first person shooter from the creators of Far Cry and Crysis that offers4 classes levelled simultaneously play as a Rifleman, Sniper, Engineer and Medic 2 powerful factions Warface and BlackwoodEndless possibilities in PVP 9 + modes on 50+ mapsRanked matches, clan wars and more!Story-driven PVE 8 + special operations with unique environment and enemiesPVE missions with different difficulties for anyone from a new player to a veteran!Co-op and Versus gameplay you can enjoy with your friends A wide range of primary, secondary and melee weapons with multiple attachments available The line-up is regularly updated!A variety of equipment, weapon and character skins that will help you to stand out!Master the unique skills of each class in co-op to help your team seize victory New daily missions offer fresh challenges and rewards Try them on on Easy, Hard and Insane difficulties!Versus matches allow up to eight players to test their mettle in a range of competitive modes Whether it is ""Team Deathmatch"", “Plant the Bomb”, “Free for All” or “Blitz” – do your best and earn your place at the top!Unlock a vast array of weapons and tweak them to personal perfection by utilizing multiple upgrade slots There are also plenty of ways to enhance your soldier's stats Easy to learn Hard to master!"
2014,"Counter-Strike Nexon: Zombies",NA,NA
2014,"theHunter Classic","Free to Play,Hunting,Multiplayer,Open World,Simulation,Shooter,Co-op,First-Person,Survival,Realistic,Online Co-Op,Sports,Adventure,FPS,Singleplayer,Action,Stealth,Strategy,Massively Multiplayer,Casual",",About This Game,The most realistic online hunting game ever created is available now, for free! Experience the thrill of the hunt in vast, open-world environments ranging from the desolate Australian outback and overgrown swamps of Louisiana to the dramatic landscape of the Austrian Alps As a hunter, you will use everything from crossbows to handguns and state of the art bolt action rifles to track, spot and harvest your prey Realistic animal behaviors and persistent online features provide a living, open world where you can explore at your own pace or compete with other players for bragging rightsKey FeaturestheHunter Classic was first released in 2009, and is still continuously updated with new weapons, species, environments, equipment and features There’s a treasure trove of content for hunters to discover here, and more is still coming!Hunt 44 lifelike species, all recreated in painstaking detail from looks to behaviours Species include Bobcat, Black Bear, Brown Bear, Polar Bear, Moose, Whitetail Deer, Turkey, Pheasant, Coyote, Red Fox, Roosevelt Elk, Wild Boar, Red Deer, Roe Deer, Mule Deer, Blacktail Deer, Feral Hog, Mallard, Canada Goose, Cottontail Rabbit, Reindeer, Alpine Ibex, European Rabbit, Red Kangaroo, Bison, Snowshoe Hare, Arctic Fox, Sitka Deer, Gadwall, American Black Duck and Northern Pintail Just to name a fewExplore 11 vast and endlessly varied environments with detailed graphics, complete with a full day cycle and immersive weather effects - from the sub-arctic Alaska to the swamps of LouisianaForm a hunting team and experience co-op multiplayer with up to 7 friends (or complete strangers)Extensive online features Increase your skills, increase your stats and get creative with Trophy Shots Take part in competitions and climb the leaderboards or go on challenging missions to earn achievementsJoin the biggest and friendliest online hunting community We are all about helping and sharing our achievements Show off that incredible set of antlers, proudly mounted in your private Trophy Lodge, or check out other accomplished hunters’ hauls for inspiration Having trouble tracking and harvesting that big one? Ask the community, many of whom are real-life hunters, and get a helping handProgressing and Acquiring Items in the GameIn theHunter Classic, a generous amount of content is available for free Right at the outset, five huntable species (Whitetail Deer, European Rabbit and Pheasant, plus two more animals rotating weekly), two weapons (243 Bolt-Action Rifle & 12 GA Single Shot shotgun) and a great equipment loadout is available at no cost Additional items such as weapons, species, licenses and ammunition can be acquired with gm$, in-game currency that can be earned through playing the game, or em$, in-game currency that can be purchased for real-life money or earned through winning in-game competitionsBy hunting certain species and using certain items in the game, you are able to hone your skills and improve as a hunter As these skills increase, more abilities unlock With time and practice, you will be able to tell weight and gender from a simple animal track, and develop steadier aim for a range of weaponsAchievements can be earned through diverse in-game activities Each achievement adds to your HunterScore, which can be used to track and compare your progress with other hunters Increasing your HunterScore also unlocks upgrade items such as pouches and holsters for your rifles"
2014,"BattleBlock Theater","Comedy,Co-op,Platformer,Funny,Multiplayer,Indie,Adventure,Local Co-Op,2D,Action,Great Soundtrack,Casual,Puzzle,Online Co-Op,Level Editor,Local Multiplayer,Singleplayer,Difficult,Masterpiece,Team-Based",",About This Game,Shipwrecked Captured Betrayed Forced to perform for an audience of cats? Yes, all that and more when you unlock BattleBlock Theater! There’s no turning back once you've started on your quest to free over 300 of your imprisoned friends from evil technological cats Immerse yourself in this mind bending tale of treachery as you use your arsenal of weapon-tools to battle your way through hundreds of levels in order to discover the puzzling truth behind BattleBlock TheaterIf solo acts aren't your style, go online or bring a buddy couch-side to play a thoroughly co-optimized quest or enter the arenas The game also includes a level editor so you can craft your own mind bending trials!Key FeaturesCO-OPTIONAL GAMEPLAY - Work together or not Online Play!  Couch Hi-Fives! Best Game Ever! Up to two players in Story, and four in Arena ARENAS Whether you're king crowning or whale chasing, BattleBlock Theater performers have 8 arena modes to teach their enemies the real meaning of stage fright! INSANE MODE One life to live doesn’t just happen on screen, it can happen on stage as well Test your skills in the ultimate campaign challengeUNIQUE ANIMATIONS New art created for the Steam version of BattleBlock Theater! Cat guard makes its way to center stage OVER 450 LEVELS! - Single player, multiplayer, arena, we have more levels than Hatty can count on his finger hands300 PRISONERS TO FREE! - Having been captured by the native feline population, it’s up to YOU to liberate them!  Earn gems to free your friends by participating in deadly, gladiatorial plays  THEATRICAL WEAPONRY AND COMBAT! - Jump, push, pull and punch your way to victory! If that doesn’t work you can explode, freeze, poison, or digest a baby! Plus, you’ll be able to bring up two weapons at a time in a game and swap quicklyCREATE AND SHARE LEVELS - Create works of art in our Level Editor and then share them with all your friends (or strangers) Over 20 interactive block types galore!"
2014,"This War of Mine","Survival,War,Atmospheric,Strategy,Singleplayer,Simulation,Choices Matter,Crafting,Indie,Stealth,Adventure,2D,Post-apocalyptic,Side Scroller,Difficult,Point & Click,Open World,2.5D,Platformer,Rogue-like",",About This Game,In This War Of Mine you do not play as an elite soldier, rather a group of civilians trying to survive in a besieged city; struggling with lack of food, medicine and constant danger from snipers and hostile scavengers The game provides an experience of war seen from an entirely new angleThe pace of This War of Mine is imposed by the day and night cycle During the day snipers outside stop you from leaving your refuge, so you need to focus on maintaining your hideout crafting, trading and taking care of your survivors At night, take one of your civilians on a mission to scavenge through a set of unique locations for items that will help you stay aliveMake life-and-death decisions driven by your conscience Try to protect everybody from your shelter or sacrifice some of them for longer-term survival During war, there are no good or bad decisions; there is only survival The sooner you realize that, the betterThis War of Mine Anniversary EditionIt's been two years since This War of Mine global release and we're still expanding the experience This new free DLC, created especially for the Anniversary Edition, adds new characters, new locations to explore, and most importantly - a whole new ending, leading to a different outcome to the game The dilemma though remains the same – how far will you go, to protect the ones you care about? This War of MineInspired by real-life eventsControl your survivors and manage your shelterCraft weapons, alcohol, beds or stoves – anything that helps you surviveMake decisions - an often unforgiving and emotionally difficult experienceRandomized world and characters every time you start a new gameCharcoal-stylized aesthetics to complement the game's themeBabelBabel project is a community-based translation initiative that will allow us to bring This War of Mine experience to people all around the world  Thanks to Babel these new languages are already available in gameFinnishHungarianRomanianVietnameseCzechYou can be a part of the project Register and start working on the translation right away at babelthiswarofminecomPreviewsIGNThis War of Mine might be the war game we needGamespotI was intrigued by This War of Mine's attempts to portray the consequences of war in a way that games have largely ignored in the past The fact that the psychological and emotional challenges of living under such horrifying conditions are something you have to consider as you struggle gives me added hope that it might treat its hefty and important subject matter with the gravity and complexity that it deservesGame Informer11bit is blazing a new thematic trail amidst the currently popular survival genre, and so far the studio seems to have something special on its hand"
2014,"Metro: Last Light Redux","Post-apocalyptic,Atmospheric,FPS,Action,Story Rich,Horror,First-Person,Singleplayer,Stealth,Shooter,Survival,Adventure,Based On A Novel,Survival Horror,Remake,Nudity,Sci-fi,Difficult,Multiplayer,Open World",",About This Game,It is the year 2034 Beneath the ruins of post-apocalyptic Moscow, in the tunnels of the Metro, the remnants of mankind are besieged by deadly threats from outside – and within Mutants stalk the catacombs beneath the desolate surface, and hunt amidst the poisoned skies aboveBut rather than stand united, the station-cities of the Metro are locked in a struggle for the ultimate power, a doomsday device from the military vaults of D6 A civil war is stirring that could wipe humanity from the face of the earth forever As Artyom, burdened by guilt but driven by hope, you hold the key to our survival – the last light in our darkest hour…Product OverviewMetro Last Light Redux is the definitive version of the critically acclaimed ‘Metro Last Light’, rebuilt in the latest and greatest iteration of the 4A Engine for Next Gen  Newcomers will get the chance to experience one of the finest story-driven shooters of all time; an epic adventure combining gripping survival horror, exploration and tactical combat and stealth This definitive version also includes all previously released DLC, adding 10 hours of bonus single-player content to the huge solo campaign Fans of the original game will notice new features and gameplay improvements, including new melee animations, the ability to check your watch and ammo supplies on the fly, and new full-body player animationsAnd those who favoured the more survival-horror oriented gameplay of the cult prequel ‘Metro 2033’ will find a new way to experience the campaign thanks to the introduction of two unique Play Styles – Survival and Spartan The former transforms Last light from a more action-oriented stealth combat experience to a fraught, slow burn fight for survival With the legendary Ranger Mode included to offer an extra layer of challenge and immersion, Metro Last Light Redux offers hours of AAA gameplay for an incredible priceGame FeaturesImmerse yourself in the Moscow Metro - witness one of the most atmospheric worlds in gaming brought to life with stunning next-gen visuals at 60FPSBrave the horrors of the Russian apocalypse - equip your gasmask and an arsenal of hand-made weaponry as you face the threat of deadly mutants, human foes, and the terrifying environment itselfRebuilt and Remastered for next-gen - with all previous DLC content included, new modes and features, and many gameplay improvement, this is the definitive version of the critically acclaimed classic that fans and newcomers alike will enjoyTwo unique Play Styles  ""Spartan"" and ""Survival"" - approach the game as a slow burn Survival Horror, or tackle it with the combat skills of a Spartan Ranger in these two unique modesThe legendary Ranger Mode returns - dare you play the fearsome Ranger Mode? No HUD, UI, deadlier combat and limited resources combine to create the ultimate immersive experienceNotice for OS X Yosemite 10105 users with an Nvidia graphics card at or above the minimum specification listed belowCurrently separate drivers are available to fix performance issues specifically affecting Nvidia users who are using OS X Yosemite These drivers are currently only compatible with OS X Yosemite 10105 and can be found here http//wwwnvidiacom/download/driverResultsaspx/89538/en-usBased on the internationally bestselling novel series by Dmitry Glukhovsky"
2014,"Borderlands: The Pre-Sequel",NA,NA
2014,"Insurgency","FPS,Realistic,Tactical,Multiplayer,Action,Shooter,Military,Team-Based,Co-op,First-Person,Strategy,Online Co-Op,War,Indie,Competitive,Simulation,PvP,Singleplayer,Atmospheric,Adventure",",About This Game,Take to the streets for intense close quarters combat, where a team's survival depends upon securing crucial strongholds and destroying enemy supply in this multiplayer and cooperative Source Engine based experience The follow-up game to the award-winning Source mod, Insurgency is highly competitive and unforgivingly lethal, striking a balance between one-life gameplay and prolonged actionFeaturesOver 40 weapons with numerous attachments, no crosshair, and a focus on realistic weapon behavior including a free-aim system and intense suppression effects16 maps playable in day and night versions on various multiplayer and cooperative modes, ranging from environments in the Middle East, Africa, and Central Asia7 multiplayer game modes supporting up to 32 players, with a focus on territorial control, destroying weapon caches and escorting high value targets5 cooperative game modes where you and your friends team up to complete mission-based objectivesFree content updates that include weapons, game modes, maps, and new featuresOffline practice mode, playing with bots on all game modesSquad system built upon role-based player classes, which are customizable and asymmetrical based on what team you are onSquad-based communication system which includes 3D VOIP, allowing friendly and enemy players within proximity to hear youOverhead map detailing objective and teammate locationsAccumulate supply to customize and upgrade your gear, affecting your weight, stamina, and movement speedSimplified HUD and UI for a clean, immersive user experience focused on the action and environmentsHighly immersive particle FX and audio to intensify the game experienceCreate custom maps and content using the Insurgency SDK and scripting system, and share them on the Steam Workshop Playable on PC, Mac OSX, and Linux with multiplayer cross-compatibility Dedicated Server Support for PC and LinuxMultiplayer Game ModesPush --- Three territorial objectives must be captured by the attacking team in sequential order For each objective captured, they gain more reinforcement and time to attack the next Defenders have a finite amount of reinforcements and must use each wisely Once the third objective is captured by the attackers, a fourth cache objective must be destroyed, while the defenders have only one life to make a last standFirefight --- Three territorial objectives, one for each team, plus one neutral Each team only respawns when they secure an objective Secure all objectives or eliminate all enemy to win Every life counts, making this a very suspenseful experience dependent upon teamworkSkirmish --- In addition to three territorial objectives, each team has a supply cache to protect Teams gain extra reinforcement waves until their cache is destroyed When both teams have lost their caches and all reinforcement waves, it becomes a Firefight matchOccupy --- There is one central territorial objective in the area The team that controls it does not deplete reinforcement waves This gameplay in this mode is reminiscent to King of the Hill or ""tug of war""Ambush --- A high value target (""HVT"") must be escorted to an extraction point It's one team's goal to make this happen and it's the other team's goal to stop this from happening at all costs The HVT is only armed with a silenced pistol, but can pick up a weapon from a fallen enemy or teammateStrike --- Three weapon caches must be destroyed by the attacking team to achieve victory Destroying a cache earns the attackers more reinforcements and time on the clock The defenders must retain at least one cache from being destroyed and eliminate the enemy team once their reinforcements run dryInfiltrate --- The standard Capture the Flag mode, but with a twist Your team's goal is to take the enemy's intel and return it to your base Your team will only gain reinforcements when someone takes the enemy's intel, or when an enemy stealing your team's intel is neutralized This mode requires very strong team coordination and strategyFlashpoint --- One neutral territorial objective and two caches on each side The goal is to secure the entire area, controlling the middle and destroying the enemy's caches Your team respawns when they secure the territorial objective or destroy a cache objectiveElimination --- In this single life mode, attackers must destroy one of two weapon caches, or eliminate the enemy team within the time limit Defenders must kill all attackersCooperative Game ModesCheckpoint --- Complete mission-based objectives in sequence against AI enemy Each successful objective will respawn anyone who was eliminated along the wayHunt --- Insurgents are dispersed in the environment, and your squad must eliminate all targets while locating and destroying the weapons cache High on tension, with only one-lifeSurvival --- Play as Insurgents and fight against endless waves of progressively difficult Security enemies on night themed maps Reaching safehouse objectives with your team earns you supply to purchase better weapons and spawns any dead teammatesOutpost --- Defend your supply cache against endless waves of enemy trying to destroy it Each successfully defended wave will bring in reinforcements of your teammatesConquer --- Capture the objectives in the area and defend them from enemy trying to retake them Destroy enemy weapon caches to thin out their numbers"
2014,"Defiance","Free to Play,Action,Open World,Massively Multiplayer,Multiplayer,Third-Person Shooter,RPG,Co-op,Shooter,Sci-fi,Survival,FPS,Post-apocalyptic,Online Co-Op,Adventure,Third Person,MMORPG,Singleplayer,First-Person,Casual",",About This Game,Arktech Some die for it – everyone kills for itJoin the futuristic online open-world shooter where thousands of players scour a transformed Earth competing for alien technology Hunt alone or with others as you improve your skills and level up, unlocking powerful weapons that will help you survive the massive battles that awaitLimitless GameplayRevolutionary Warfare"
